date,title,url
2018-04-18,【中大期货金属(有色金属)日报20180418】,http://www.zdqh.com/about/news_info.php?3268
2018-04-17,【中大期货金属(有色金属)日报20180417——铝供应忧虑挥之不去 地缘政治危机缓解 美元回落,http://www.zdqh.com/about/news_info.php?3263
2018-04-16,【中大期货金属(有色)周报20180416——美制裁俄铝引发供应忧虑 国储抛锌引发市场恐慌 基本,http://www.zdqh.com/about/news_info.php?3260
2018-04-13,【中大期货金属(有色金属)日报20180413——铝供应忧虑挥之不去 国储抛锌传闻引发恐慌 基本,http://www.zdqh.com/about/news_info.php?3254
2018-04-12,【中大期货金属(有色金属)日报20180412——叙利亚引发地缘政治风险 美联储暗示更多加息 基,http://www.zdqh.com/about/news_info.php?3248
2018-04-10,【中大期货金属(有色金属)日报2018410——中美贸易战忧虑降温 美对俄铝实施制裁 基本金属,http://www.zdqh.com/about/news_info.php?3239
2018-04-09,【中大期货金属(有色)周报20180409——中美贸易战继续升级 中美欧经济数据好坏不一 基本金,http://www.zdqh.com/about/news_info.php?3235
2018-04-04,【中大期货金属(有色金属)日报2018404——市场预期中美贸易战将不会损及有色市场 基本金,http://www.zdqh.com/about/news_info.php?3229
2018-04-03,【中大期货金属(有色金属)日报2018403——中国制造业PMI好于预期 下游入市补库 基本金属全,http://www.zdqh.com/about/news_info.php?3226
2018-04-02,【中大期货金属(有色)周报20180402——中美贸易战峰回路转 市场忧虑情绪大幅波动 基本金属,http://www.zdqh.com/about/news_info.php?3219
2018-03-30,【中大期货金属(有色金属)日报20180330——中美重启贸易谈判 美元指数小幅回升 基本金属涨,http://www.zdqh.com/about/news_info.php?3216
2018-03-29,【中大期货金属(有色金属)日报20180329——中美贸易战狼烟再起 美国四季度GDP好于预期 基本,http://www.zdqh.com/about/news_info.php?3211
2018-03-28,【中大期货金属(有色金属)日报20180328——中美贸易战忧虑降温 伦铜继续猛增 基本金属冲高,http://www.zdqh.com/about/news_info.php?3206
2018-03-27,【中大期货金属(有色金属)日报20180327——中美开始贸易谈判 伦铜库存猛增 基本金属低探回,http://www.zdqh.com/about/news_info.php?3201
2018-03-26,【中大期货金属(有色)周报20180326——美联储如期加息VS中美贸易战剑拔弩张 基本金属悉数,http://www.zdqh.com/about/news_info.php?3198
2018-03-23,【中大期货金属(有色金属)日报20180323——英央行按兵不动 中美贸易战升温 基本金属全线回,http://www.zdqh.com/about/news_info.php?3191
2018-03-22,【中大期货金属(有色金属)日报20180322——美联储如期加息 预期今年加息三次 美元回落 基,http://www.zdqh.com/about/news_info.php?3186
2018-03-21,【中大期货金属(有色金属)日报20180321——贸易保护主义与美联储加息双重忧虑上升 基本金,http://www.zdqh.com/about/news_info.php?3180
2018-03-20,【中大期货金属(有色金属)日报20180320——贸易战打压金属需求前景 市场预期美联储加息 基,http://www.zdqh.com/about/news_info.php?3174
